ObsLatentHeat(mm.day),ObsSensibleHeat(mm.day),ModNetRadiation(mm.day),ModTsLessTa(K)
2.84731,0.881051,4.28407,-1.77162
0.189887,3.47042,4.60016,9.84128
1.10838,1.71128,3.46016,4.85597
1.95139,1.59333,4.87233,4.46382
0.362242,3.67086,6.34992,4.24100
2.31711,2.84018,6.53760,3.04824
2.52405,3.16501,5.09792,3.24577
4.00297,2.28819,6.52860,0.496262
2.58470,1.73038,4.21675,3.86463
0.744969,3.23651,5.75569,7.67119
1.98481,NaN,4.99590,0.332095
1.63024,2.61421,4.51130,4.59789
3.28469,1.60052,4.44812,0.412573
0.268752,3.80463,6.03389,10.0858
0.627767,3.51773,4.90394,6.92770
3.06923,0.529379,4.74714,-0.0147233
0.367528,3.87729,5.46289,12.1253
1.25354,2.96820,5.93286,7.23849
2.85318,1.62351,5.07138,2.72727
2.66254,3.71424,5.99281,5.18687
5.18106,1.00051,6.58062,-0.0811465
0.937895,3.20094,5.00472,9.50109
0.504283,3.22722,6.63583,5.07973
1.54251,3.67510,5.52970,10.6348
3.35991,2.34876,5.71180,-0.623063
0.642824,3.64923,6.54165,9.03571
0.655868,4.19992,5.82163,7.02712
2.93239,0.960851,4.92736,-1.20968
1.20815,3.76536,6.02499,10.7473
1.24194,3.45354,5.25855,8.59075
1.42112,3.36508,6.46881,7.75598
3.51051,2.19187,5.26791,2.93069
2.31257,4.01382,6.38037,5.39752
5.07074,1.19258,6.97416,-3.60793
4.90533,2.55308,6.48674,-0.441518
1.77415,4.16618,6.01667,10.1376
3.71860,2.74743,6.30125,-1.20675
1.04457,3.65474,6.79683,6.80589
0.870456,4.75917,6.25731,7.24106
2.89427,1.30424,5.39577,-2.17557
0.620294,3.76499,6.29342,8.66539
1.56286,3.50388,6.24406,8.64982
2.60648,2.65005,6.07940,5.60866
0.475938,4.47976,5.61556,8.94096
1.23535,3.85649,6.86617,10.1805
3.47131,2.58854,5.75935,2.73899
5.43274,-0.220757,6.31379,-6.93238
4.72176,1.33234,6.94820,-7.09676
2.90237,2.53367,6.85402,7.36396
1.28671,5.13974,6.28640,5.90407
4.91103,1.03316,5.90204,-8.09675
0.429637,3.57076,5.41703,12.6772
1.85405,3.25179,6.35994,7.86849
5.07228,1.86688,6.47543,-1.33743
5.11725,2.73275,5.93361,0.409303
2.89658,3.58323,6.29824,0.713380
1.71429,2.72201,5.75982,0.965826
0.658947,4.16967,6.80336,8.84570
0.553278,5.00200,6.12276,8.36108
5.66219,0.444248,5.31178,-3.52326
1.01326,3.28244,6.12583,9.04354
0.703469,4.43260,6.23720,9.99933
2.53858,2.98228,5.91419,2.18242
0.274162,4.44045,5.51420,9.60304
0.612154,3.70247,6.75618,8.51559
3.74847,2.66897,6.58452,4.44368
5.10011,1.57807,6.43070,-4.52970
4.39156,2.01017,6.47937,1.86613
0.874501,4.37539,5.82141,5.67981
5.56537,1.01865,6.02747,-4.91052
0.621687,2.87646,4.71887,9.32125
2.05193,3.34236,6.20499,6.59404
4.33645,1.45197,5.22890,-1.92539
2.62222,2.51609,5.41521,-0.114865
0.357058,4.07528,6.34934,9.27287
0.528031,3.95083,5.44423,6.00478
4.86027,0.502609,5.04826,-3.11061
0.608590,3.13081,5.63412,7.95259
0.342016,4.31951,5.67652,11.3504
4.07090,1.56305,5.01102,1.53542
0.134303,3.43950,4.74334,7.76963
1.55118,2.98611,6.22536,9.15173
4.59811,2.08174,6.08928,-4.88790
3.63144,1.83742,5.73346,1.06368
5.58558,0.826346,5.68911,-5.45214
1.22812,2.14882,3.76063,6.05280
3.69017,1.84009,5.69664,3.59454
3.58024,1.45287,4.15146,-0.805629
2.35793,1.41602,4.02972,-0.626719
3.02586,0.972165,4.24188,-1.67771
0.281315,3.78527,5.67527,7.74296
0.951381,2.58418,4.33104,4.23780
5.32406,-0.152747,4.50973,-1.45509
1.53172,2.07997,4.61022,4.06804
0.187382,3.83691,5.32951,9.34972
