Product code,Bureau of Meteorology station number,Year,Month,Mean maximum temperature (°C),Quality
IDCJAC0002,014015,1980,04,32.8,Y
IDCJAC0002,014015,1980,05,32.7,Y
IDCJAC0002,014015,1980,06,31.8,Y
IDCJAC0002,014015,1980,07,30.9,Y
IDCJAC0002,014015,1980,08,31.8,Y
IDCJAC0002,014015,1980,09,33.1,Y
IDCJAC0002,014015,1980,10,32.9,Y
IDCJAC0002,014015,1980,11,33.3,Y
IDCJAC0002,014015,1980,12,32.7,Y
IDCJAC0002,014015,1981,01,30.8,Y
IDCJAC0002,014015,1981,02,30.6,Y
IDCJAC0002,014015,1981,03,31.9,Y
IDCJAC0002,014015,1981,04,32.9,Y
IDCJAC0002,014015,1981,05,31.8,Y
IDCJAC0002,014015,1981,06,30.9,Y
IDCJAC0002,014015,1981,07,31.7,Y
IDCJAC0002,014015,1981,08,31.7,Y
IDCJAC0002,014015,1981,09,33.0,Y
IDCJAC0002,014015,1981,10,32.8,Y
IDCJAC0002,014015,1981,11,32.8,Y
IDCJAC0002,014015,1981,12,32.8,Y
IDCJAC0002,014015,1982,01,31.5,Y
IDCJAC0002,014015,1982,02,31.0,Y
IDCJAC0002,014015,1982,03,31.6,Y
IDCJAC0002,014015,1982,04,33.9,Y
IDCJAC0002,014015,1982,05,32.2,Y
IDCJAC0002,014015,1982,06,30.2,Y
IDCJAC0002,014015,1982,07,29.8,Y
IDCJAC0002,014015,1982,08,30.7,Y
IDCJAC0002,014015,1982,09,31.1,Y
IDCJAC0002,014015,1982,10,32.9,Y
IDCJAC0002,014015,1982,11,32.7,Y
IDCJAC0002,014015,1982,12,33.1,Y
IDCJAC0002,014015,1983,01,32.7,Y
IDCJAC0002,014015,1983,02,32.6,Y
IDCJAC0002,014015,1983,03,31.6,Y
IDCJAC0002,014015,1983,04,32.0,Y
IDCJAC0002,014015,1983,05,31.4,Y
IDCJAC0002,014015,1983,06,30.8,Y
IDCJAC0002,014015,1983,07,29.5,Y
IDCJAC0002,014015,1983,08,31.4,Y
IDCJAC0002,014015,1983,09,32.6,Y
IDCJAC0002,014015,1983,10,33.3,Y
IDCJAC0002,014015,1983,11,32.9,Y
IDCJAC0002,014015,1983,12,33.0,Y
IDCJAC0002,014015,1984,01,31.1,Y
IDCJAC0002,014015,1984,02,30.2,Y
